cart_velocity,pendulum_angle,pendulum_angular_velocity,force
-2.14,1.1471975511966,-3.14,-272.709181806813
-2.04,1.1471975511966,-3.14,-271.513264818818
-1.94,1.1471975511966,-3.14,-270.317347830823
-1.84,1.1471975511966,-3.14,-269.121430842828
-1.74,1.1471975511966,-3.14,-267.925513854833
-1.64,1.1471975511966,-3.14,-266.729596866838
-1.54,1.1471975511966,-3.14,-265.533679878843
-1.44,1.1471975511966,-3.14,-264.337762890848
-1.34,1.1471975511966,-3.14,-263.141845902854
-1.24,1.1471975511966,-3.14,-261.940733777502
-1.14,1.1471975511966,-3.14,-260.735026610968
-1.04,1.1471975511966,-3.14,-259.529319444434
-0.94,1.1471975511966,-3.14,-258.324653625828
-0.84,1.1471975511966,-3.14,-257.126450044283
-0.74,1.1471975511966,-3.14,-255.928246462739
-0.64,1.1471975511966,-3.14,-254.730042881194
-0.54,1.1471975511966,-3.14,-253.531839299649
-0.44,1.1471975511966,-3.14,-252.333635718104
-0.34,1.1471975511966,-3.14,-251.13543213656
-0.24,1.1471975511966,-3.14,-249.937228555015
-0.14,1.1471975511966,-3.14,-248.73902497347
-0.04,1.1471975511966,-3.14,-247.540821391925
0.0600000000000001,1.1471975511966,-3.14,-246.34261781038
0.16,1.1471975511966,-3.14,-245.144414228835
0.26,1.1471975511966,-3.14,-243.946210647291
0.36,1.1471975511966,-3.14,-242.748007065746
0.46,1.1471975511966,-3.14,-241.549803484201
0.56,1.1471975511966,-3.14,-240.351599902656
0.66,1.1471975511966,-3.14,-239.153396321112
0.76,1.1471975511966,-3.14,-237.955192739567
0.86,1.1471975511966,-3.14,-236.756989158022
0.96,1.1471975511966,-3.14,-235.558785576477
1.06,1.1471975511966,-3.14,-234.366876129197
1.16,1.1471975511966,-3.14,-233.179349045872
1.26,1.1471975511966,-3.14,-231.991821962546
1.36,1.1471975511966,-3.14,-230.804294879221
1.46,1.1471975511966,-3.14,-229.612741332009
1.56,1.1471975511966,-3.14,-228.417808761398
1.66,1.1471975511966,-3.14,-227.222876190786
1.76,1.1471975511966,-3.14,-226.027943620175
1.86,1.1471975511966,-3.14,-224.832781079631
1.96,1.1471975511966,-3.14,-223.636897304023
2.06,1.1471975511966,-3.14,-222.441013528415
2.16,1.1471975511966,-3.14,-221.245129752808
2.26,1.1471975511966,-3.14,-220.0492459772
2.36,1.1471975511966,-3.14,-218.853362201592
2.46,1.1471975511966,-3.14,-217.657478425984
2.56,1.1471975511966,-3.14,-216.461594650376
2.66,1.1471975511966,-3.14,-215.265710874768
2.76,1.1471975511966,-3.14,-214.06982709916
2.86,1.1471975511966,-3.14,-212.873943323552
2.96,1.1471975511966,-3.14,-211.678059547945
3.06,1.1471975511966,-3.14,-210.482175772337
-3.14,1.2471975511966,-3.14,-267.690907760707
-3.04,1.2471975511966,-3.14,-266.498821506401
-2.94,1.2471975511966,-3.14,-265.306735252095
-2.84,1.2471975511966,-3.14,-264.11464899779
-2.74,1.2471975511966,-3.14,-262.922562743484
-2.64,1.2471975511966,-3.14,-261.730476489178
-2.54,1.2471975511966,-3.14,-260.538390234872
-2.44,1.2471975511966,-3.14,-259.346303980566
-2.34,1.2471975511966,-3.14,-258.15421772626
-2.24,1.2471975511966,-3.14,-256.962131471954
-2.14,1.2471975511966,-3.14,-255.770045217648
-2.04,1.2471975511966,-3.14,-254.577958963342
-1.94,1.2471975511966,-3.14,-253.385872709037
-1.84,1.2471975511966,-3.14,-252.193786454731
-1.74,1.2471975511966,-3.14,-251.001700200425
-1.64,1.2471975511966,-3.14,-249.809613946119
-1.54,1.2471975511966,-3.14,-248.617527691813
-1.44,1.2471975511966,-3.14,-247.425441437507
-1.34,1.2471975511966,-3.14,-246.231432263474
-1.24,1.2471975511966,-3.14,-245.033228681929
-1.14,1.2471975511966,-3.14,-243.835025100385
-1.04,1.2471975511966,-3.14,-242.63682151884
-0.94,1.2471975511966,-3.14,-241.438617937295
-0.84,1.2471975511966,-3.14,-240.24041435575
-0.74,1.2471975511966,-3.14,-239.042210774206
-0.64,1.2471975511966,-3.14,-237.844007192661
-0.54,1.2471975511966,-3.14,-236.645803611116
-0.44,1.2471975511966,-3.14,-235.447600029571
-0.34,1.2471975511966,-3.14,-234.249396448026
-0.24,1.2471975511966,-3.14,-233.051192866481
-0.14,1.2471975511966,-3.14,-231.852989284937
-0.04,1.2471975511966,-3.14,-230.654785703392
0.0600000000000001,1.2471975511966,-3.14,-229.45508360877
0.16,1.2471975511966,-3.14,-228.251104978609
0.26,1.2471975511966,-3.14,-227.047126348447
0.36,1.2471975511966,-3.14,-225.843147718285
0.46,1.2471975511966,-3.14,-224.639169088124
0.56,1.2471975511966,-3.14,-223.435190457962
0.66,1.2471975511966,-3.14,-222.2312118278
0.76,1.2471975511966,-3.14,-221.028397880088
0.86,1.2471975511966,-3.14,-219.834917838897
0.96,1.2471975511966,-3.14,-218.641437797707
1.06,1.2471975511966,-3.14,-217.447957756517
1.16,1.2471975511966,-3.14,-216.254186774951
1.26,1.2471975511966,-3.14,-215.058444357351
1.36,1.2471975511966,-3.14,-213.862560581743
1.46,1.2471975511966,-3.14,-212.666676806135
1.56,1.2471975511966,-3.14,-211.470793030527
1.66,1.2471975511966,-3.14,-210.274909254919
1.76,1.2471975511966,-3.14,-209.079025479311
1.86,1.2471975511966,-3.14,-207.883141703704
1.96,1.2471975511966,-3.14,-206.687257928096
2.06,1.2471975511966,-3.14,-205.491374152488
2.16,1.2471975511966,-3.14,-204.29549037688
2.26,1.2471975511966,-3.14,-203.099606601272
2.36,1.2471975511966,-3.14,-201.903722825664
2.46,1.2471975511966,-3.14,-200.707839050056
2.56,1.2471975511966,-3.14,-199.511955274448
