pdf_web,vid_img_ppt,total
13,4,47.4217295527868
14,4,54.8962169620542
15,4,60.7709973933374
16,4,65.3367540812755
17,4,68.9755931707792
18,4,71.9764602437099
19,4,74.5258465051595
20,4,76.7375371948783
0,5,-1.72288395698343
1,5,1.79603398400418
2,5,5.90415746496929
3,5,9.69307966713812
4,5,11.874224697406
5,5,17.5172892483343
6,5,24.5882935881327
7,5,25.3728536028168
8,5,23.5117979552454
9,5,28.6809250617769
10,5,33.0507808097324
11,5,40.374804186405
12,5,48.469377907121
13,5,55.1806510146851
14,5,60.4698856147738
15,5,64.7048053132252
16,5,68.2016364755444
17,5,71.1725723126662
18,5,73.7503010984976
19,5,76.017026674445
20,5,78.0251665395821
0,6,-0.236370407058519
1,6,3.5213026487474
2,6,7.9806614475553
3,6,12.1105060152834
4,6,15.3901343534754
5,6,22.2953449074191
6,6,26.1151377081787
7,6,23.8934630937138
8,6,27.0628282100383
9,6,31.486706215294
10,6,39.2172427891525
11,6,47.0858318785269
12,6,53.6234572267757
13,6,58.9141920590288
14,6,63.2604991628302
15,6,66.9112943202718
16,6,70.0400664046301
17,6,72.7627139072993
18,6,75.1565318763734
19,6,77.2742908216352
20,6,79.1536176928741
0,7,2.21407680552342
1,7,6.76264841196815
2,7,12.4889293646234
3,7,18.1444597343259
4,7,23.3889150879831
5,7,28.3855083148066
6,7,24.9195991496079
7,7,23.9223449922171
8,7,27.6195286161825
9,7,35.4275638026328
10,7,43.412578485985
11,7,50.3219754469583
12,7,56.113115949439
13,7,60.9567112109963
14,7,65.0377673661887
15,7,68.5141836267873
16,7,71.5091712090467
17,7,74.1146018743644
18,7,76.3977984450531
19,7,78.4083602208072
20,7,80.1837028591396
0,8,8.87670833533678
1,8,14.3935071176939
2,8,22.2074190371658
3,8,29.1881487745472
4,8,32.1204148632347
5,8,26.1841732725847
6,8,19.7996371635904
7,8,22.2521555663594
8,8,29.7514057288626
9,8,37.8620732940221
10,8,45.3535170272107
11,8,51.9451386467471
12,8,57.5990673245078
13,8,62.3877320276373
14,8,66.4334305707506
15,8,69.8663437108841
16,8,72.8018131700701
17,8,75.3328582786308
18,8,77.531100499813
19,8,79.4508645498367
20,8,81.1336468673405
0,9,26.9852912722806
1,9,33.3695725641126
2,9,38.6346243691731
3,9,39.1938202507291
4,9,28.23565813936
5,9,15.9706489985093
6,9,16.7178369715179
7,9,23.3862444675481
8,9,31.2070478869314
9,9,39.0188582416914
10,9,46.3641774495872
11,9,52.96203208823
12,9,58.685747423392
13,9,63.5442045448578
14,9,67.6296602477527
